n,N,is_independent,estimated,answer,error,A,B
10,1000,dependent,0.056182227241005675,0.05693571940355193,0.01323408521820224,100,100
10,1000,independent,0.03136051541158085,0.031338560145609755,0.0007005831113198191,100,100
10,10000,dependent,0.051454393433800705,0.051738281553178785,0.005487003256694711,100,100
10,1000,dependent,0.05739935782776669,0.05693571940355193,0.00814319076094483,100,100
10,1000,independent,0.031016553537748195,0.031338560145609755,0.010275092613234449,100,100
10,10000,dependent,0.05108706644149362,0.051738281553178785,0.012586717071687348,100,100
10,10000,independent,0.009939839965508903,0.009960119683718665,0.002036091819550334,100,100
10,1000,dependent,0.057233609251208316,0.05693571940355193,0.005232038003155637,100,100
10,1000,independent,0.031322452554038614,0.031338560145609755,0.0005139863317363824,100,100
10,10000,dependent,0.05157789083188625,0.051738281553178785,0.0031000395930753655,100,100
10,10000,independent,0.009784613494775149,0.009960119683718665,0.017620891567237673,100,100
10,1000,dependent,0.057074649251659886,0.05693571940355193,0.002440117549463716,100,100
10,1000,independent,0.03081294467460064,0.031338560145609755,0.016772164023073244,100,100
10,1000,dependent,0.05709545962473723,0.05693571940355193,0.0028056240064884275,100,100
10,1000,independent,0.031332626545503645,0.031338560145609755,0.00018933863197734269,100,100
10,1000,dependent,0.0560592568869763,0.05693571940355193,0.0153938955326689,100,100
10,1000,independent,0.03134097967198857,0.031338560145609755,7.720604799876796e-05,100,100
10,10000,dependent,0.051988933330965735,0.051738281553178785,0.004844609644201636,100,100
10,1000,dependent,0.055755403966252455,0.05693571940355193,0.020730666963801325,100,100
10,1000,dependent,0.05615486250005425,0.05693571940355193,0.013714710408119779,100,100
10,1000,dependent,0.0569508446722259,0.05693571940355193,0.00026565517802223937,100,100
10,1000,dependent,0.05714331204051791,0.05693571940355193,0.0036460878889506,100,100
10,1000,dependent,0.056513338472965836,0.05693571940355193,0.007418557893197453,100,100
10,1000,dependent,0.05628772174035827,0.05693571940355193,0.011381214990904942,100,100
10,1000,dependent,0.05667496653444093,0.05693571940355193,0.004579776489040621,100,100
10,1000,dependent,0.0566468353665057,0.05693571940355193,0.005073862947066021,100,100
10,1000,dependent,0.056828887950407775,0.05693571940355193,0.0018763520381107623,100,100
10,1000,dependent,0.05651654658239479,0.05693571940355193,0.0073622117283898,100,100
10,1000,dependent,0.05747432589600333,0.05693571940355193,0.00945990492600668,100,100
10,1000,dependent,0.0558270228409146,0.05693571940355193,0.019472776918458834,100,100
10,1000,dependent,0.056122880549736576,0.05693571940355193,0.01427643072451712,100,100
10,1000,dependent,0.05704845456557084,0.05693571940355193,0.0019800428131917513,100,100
10,1000,dependent,0.0562702037280833,0.05693571940355193,0.011688895520078568,100,100
10,1000,dependent,0.05650870374446754,0.05693571940355193,0.007499960719873799,100,100
10,1000,dependent,0.05693553970728652,0.05693571940355193,3.1561253163170377e-06,100,100
10,1000,dependent,0.056523031739636895,0.05693571940355193,0.00724830858797032,100,200
10,1000,dependent,0.056671645169696645,0.05693571940355193,0.004638111832460878,100,300
10,1000,dependent,0.05673878519108423,0.05693571940355193,0.0034588868733150813,100,400
10,1000,dependent,0.05721332732432191,0.05693571940355193,0.00487581299890727,200,100
10,1000,dependent,0.056709739672123345,0.05693571940355193,0.003969032688019181,100,100
10,1000,dependent,0.05676750607521877,0.05693571940355193,0.0029544428365063657,100,200
10,1000,dependent,0.05611398036425504,0.05693571940355193,0.014432750616050538,100,300
10,1000,dependent,0.056627111251060645,0.05693571940355193,0.005420290737066402,100,400
10,1000,dependent,0.05676685224283621,0.05693571940355193,0.0029659265305636007,200,100
10,1000,dependent,0.0565771894144628,0.05693571940355193,0.006297101237062175,200,200
10,1000,dependent,0.056948153002885006,0.05693571940355193,0.0002183795948014211,200,300
10,1000,dependent,0.05675144086135611,0.05693571940355193,0.0032366068985566487,200,400
10,1000,dependent,0.05614212929057821,0.05693571940355193,0.013938352255617792,300,100
10,1000,dependent,0.05696256315089764,0.05693571940355193,0.00047147463186414384,300,200
10,1000,dependent,0.05681148887634144,0.05693571940355193,0.0021819435762279182,300,300
10,1000,dependent,0.057086522351719175,0.05693571940355193,0.0026486527218243516,300,400
10,1000,dependent,0.05659712127732293,0.05693571940355193,0.005947024640701737,400,100
10,1000,dependent,0.05714184517461787,0.05693571940355193,0.00362032434516113,400,200
10,1000,dependent,0.056840196715000915,0.05693571940355193,0.0016777286657952972,400,300
10,1000,dependent,0.05659467630793553,0.05693571940355193,0.005989967268159702,100,100
10,1000,dependent,0.05687238685478217,0.05693571940355193,0.0011123517790452286,100,200
10,1000,dependent,0.056670715520452004,0.05693571940355193,0.004654439881959127,100,300
10,1000,dependent,0.056570681820179616,0.05693571940355193,0.006411398454193251,100,400
10,1000,dependent,0.05711004694342318,0.05693571940355193,0.0030618308102097203,200,100
10,1000,dependent,0.056560306441885554,0.05693571940355193,0.006593628140631802,200,200
10,1000,dependent,0.05671432062645201,0.05693571940355193,0.003888574332936434,200,300
10,1000,dependent,0.0566746014274472,0.05693571940355193,0.00458618910659514,200,400
10,1000,dependent,0.05713555949820858,0.05693571940355193,0.003509924819605992,300,100
10,1000,dependent,0.05689945770286393,0.05693571940355193,0.0006368884255415486,300,200
10,1000,dependent,0.0569804375452956,0.05693571940355193,0.0007854145378705102,300,300
10,1000,dependent,0.05700732700042455,0.05693571940355193,0.0012576919660061137,300,400
10,1000,dependent,0.05707717773611444,0.05693571940355193,0.0024845270077273884,400,100
