n,N,is_independent,A,B,estimated,answer,error
10000,1000000,independent,8,1,0.0010352153293306022,0.000999886492398402,0.03533284747897514
10000,1000000,independent,8,4,0.0009948916434417458,0.000999886492398402,0.004995415974342388
10000,1000000,independent,8,16,0.0010000502029133222,0.000999886492398402,0.00016372909941764213
10000,1000000,independent,8,64,0.000945637936000125,0.000999886492398402,0.05425471472082033
10000,1000000,independent,8,256,0.000978369768546131,0.000999886492398402,0.021519166441242077
10000,1000000,independent,16,1,0.0010061341085870837,0.000999886492398402,0.006248325421114309
10000,1000000,independent,16,4,0.0009590739471509547,0.000999886492398402,0.0408171783074609
10000,1000000,independent,16,16,0.0009954346180107872,0.000999886492398402,0.00445237976656343
10000,1000000,independent,16,64,0.0010020761728167151,0.000999886492398402,0.002189928991900736
10000,1000000,independent,16,256,0.0010003428111953548,0.000999886492398402,0.000456370598484801
10000,1000000,dependent,2,1,0.0006611569839999609,0.0010016305745224907,0.33991932672866376
10000,1000000,dependent,2,4,0.0004617580163903654,0.0010016305745224907,0.5389936887554574
10000,1000000,dependent,2,16,0.0007713516220953067,0.0010016305745224907,0.229904076697105
10000,1000000,dependent,2,64,0.0007505703965573029,0.0010016305745224907,0.2506514720608206
10000,1000000,dependent,2,1,0.00027552867600003084,0.0010016305745224907,0.7249198626635531
10000,1000000,dependent,2,4,0.0006914489961321769,0.0010016305745224907,0.3096766275711854
10000,1000000,dependent,2,16,0.0007810633597441777,0.0010016305745224907,0.22020814898093977
10000,1000000,dependent,2,64,0.0007385444628805256,0.0010016305745224907,0.2626578284787149
10000,1000000,dependent,2,256,0.0007064112856880643,0.0010016305745224907,0.29473869542687114
10000,1000000,dependent,4,1,0.0008347339728555542,0.0010016305745224907,0.16662490733821844
10000,1000000,dependent,4,4,0.0008624320924877314,0.0010016305745224907,0.138971878031099
10000,1000000,dependent,4,16,0.0009414655682622721,0.0010016305745224907,0.0600670624385653
10000,1000000,dependent,4,64,0.0009854068096363509,0.0010016305745224907,0.01619735389354915
10000,1000000,independent,32,1,0.00101250509100014,0.000999886492398402,0.012620031071197024
10000,1000000,independent,32,4,0.0009832945597464786,0.000999886492398402,0.016593816176198928
10000,1000000,independent,32,16,0.000983528336853868,0.000999886492398402,0.01636001253031849
10000,1000000,independent,32,64,0.001005568079224075,0.000999886492398402,0.0056822318021767515
10000,1000000,independent,32,256,0.000995530580712426,0.000999886492398402,0.00435640617119204
10000,1000000,dependent,4,256,0.0009118104146210366,0.0010016305745224907,0.08967393985978733
10000,1000000,dependent,8,1,0.0009685105579909865,0.0010016305745224907,0.03306609979162578
10000,1000000,dependent,8,4,0.000941068528205009,0.0010016305745224907,0.06046345614634774
10000,1000000,dependent,8,16,0.0009515196898660474,0.0010016305745224907,0.05002930814121043
10000,1000000,dependent,8,64,0.000991093597697749,0.0010016305745224907,0.010519823468612799
